Filename,Color Border,Blackline,Perimeter,Noise,Blur,Brightness
000000000009.jpg,1,0,0,0,0,0
000000000025.jpg,1,0,0,0,0,0
000000000030.jpg,1,0,0,0,0,0
000000000034.jpg,1,0,0,0,0,0
000000000049.jpg,1,0,0,0,0,0
000000000061.jpg,1,0,0,0,0,0
000000000071.jpg,1,0,0,0,0,0
000000000072.jpg,1,0,0,0,0,0
000000000078.jpg,1,0,0,0,0,0
000000000081.jpg,1,0,0,0,0,0
000000000086.jpg,1,0,0,0,0,0
000000000089.jpg,1,0,0,0,0,0
000000000144.jpg,1,0,0,0,0,0
000000000154.jpg,1,0,0,0,0,0
000000000164.jpg,1,0,0,0,0,0
000000000196.jpg,1,0,0,0,0,0
000000000208.jpg,1,0,0,0,0,0
000000000241.jpg,1,0,0,0,0,0
000000000247.jpg,1,0,0,0,0,0
000000000257.jpg,1,0,0,0,0,0
000000000260.jpg,1,0,0,0,0,0
000000000263.jpg,1,0,0,0,0,0
000000000283.jpg,1,0,0,0,0,0
000000000307.jpg,1,0,0,0,0,0
000000000312.jpg,1,0,0,0,0,0
000000000315.jpg,1,0,0,0,0,0
000000000321.jpg,1,0,0,0,0,0
000000000322.jpg,1,0,0,0,0,0
000000000338.jpg,1,0,0,0,0,0
000000000349.jpg,1,0,0,0,0,0
000000000359.jpg,1,0,0,0,0,0
000000000360.jpg,1,0,0,0,0,0
000000000368.jpg,1,0,0,0,0,0
000000000370.jpg,1,0,0,0,0,0
000000000382.jpg,1,0,0,0,0,0
000000000389.jpg,1,0,0,0,0,0
000000000395.jpg,1,0,0,0,0,0
000000000397.jpg,1,0,0,0,0,0
000000000400.jpg,1,0,0,0,0,0
000000000404.jpg,1,0,0,0,0,0
000000000415.jpg,1,0,0,0,0,0
000000000419.jpg,1,0,0,0,0,0
000000000431.jpg,1,0,0,0,0,0
000000000436.jpg,1,0,0,0,0,0
000000000443.jpg,1,0,0,0,0,0
000000000450.jpg,1,0,0,0,0,0
000000000459.jpg,1,0,0,0,0,0
000000000472.jpg,1,0,0,0,0,0
000000000490.jpg,1,0,0,0,0,0
000000000514.jpg,1,0,0,0,0,0
000000000520.jpg,1,0,0,0,0,0
000000000529.jpg,1,0,0,0,0,0
000000000532.jpg,1,0,0,0,0,0
000000000564.jpg,1,0,0,0,0,0
000000000569.jpg,1,0,0,0,0,0
000000000575.jpg,1,0,0,0,0,0
000000000589.jpg,1,0,0,0,0,0
000000000597.jpg,1,0,0,0,0,0
000000000599.jpg,1,0,0,0,0,0
000000000612.jpg,1,0,0,0,0,0
000000000620.jpg,1,0,0,0,0,0
000000000623.jpg,1,0,0,0,0,0
000000000629.jpg,1,0,0,0,0,0
000000000641.jpg,1,0,0,0,0,0
000000000643.jpg,1,0,0,0,0,0
000000000650.jpg,1,0,0,0,0,0
000000000656.jpg,1,0,0,0,0,0
000000000671.jpg,1,0,0,0,0,0
000000000675.jpg,1,0,0,0,0,0
000000000681.jpg,1,0,0,0,0,0
000000000684.jpg,1,0,0,0,0,0
000000000690.jpg,1,0,0,0,0,0
000000000692.jpg,1,0,0,0,0,0
000000000711.jpg,1,0,0,0,0,0
000000000730.jpg,1,0,0,0,0,0
000000000731.jpg,1,0,0,0,0,0
000000000735.jpg,1,0,0,0,0,0
000000000754.jpg,1,0,0,0,0,0
000000000761.jpg,1,0,0,0,0,0
000000000775.jpg,1,0,0,0,0,0
000000000795.jpg,1,0,0,0,0,0
000000000810.jpg,1,0,0,0,0,0
000000000813.jpg,1,0,0,0,0,0
000000000821.jpg,1,0,0,0,0,0
000000000827.jpg,1,0,0,0,0,0
000000000836.jpg,1,0,0,0,0,0
000000000839.jpg,1,0,0,0,0,0
000000000853.jpg,1,0,0,0,0,0
000000000873.jpg,1,0,0,0,0,0
000000000897.jpg,1,0,0,0,0,0
